County Code,District Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
7,61788,1,2,2457.5285714285715,40831.0,40761.0,6021.0,5833.0,5823.0,341.0,817.0,1158.0,1640.0,3034.0
7,61788,1,1,2474.9714285714285,41027.0,40971.0,6023.0,5861.0,5853.0,549.0,1402.0,1950.0,1552.0,2358.0
7,61796,1,2,2458.657142857143,102788.0,102739.0,15103.0,14684.0,14677.0,1372.0,2103.0,3476.0,3618.0,7589.0
7,61796,1,1,2472.7999999999997,101675.0,101556.0,15101.0,14525.0,14508.0,1737.0,3220.0,4957.0,3372.0,6196.0
7,61804,1,2,2599.957142857143,122948.0,122906.0,17860.0,17564.0,17558.0,8838.0,4699.0,13538.0,2790.0,1236.0
7,61804,1,1,2591.0857142857144,122864.0,122794.0,17859.0,17552.0,17542.0,8430.0,5904.0,14338.0,2157.0,1057.0
7,61812,1,1,2553.733333333333,14178.0,14178.0,2429.0,2363.0,2363.0,864.0,862.0,1726.0,382.0,255.0
7,61812,1,2,2557.9666666666667,14334.0,14316.0,2429.0,2389.0,2386.0,953.0,673.0,1626.0,500.0,262.0
8,61820,1,1,2477.9428571428575,13062.0,13055.0,1957.0,1866.0,1865.0,182.0,442.0,624.0,487.0,754.0
8,61820,1,2,2469.3857142857146,13048.0,13034.0,1958.0,1864.0,1862.0,134.0,316.0,450.0,552.0,861.0
9,61838,1,1,2547.9333333333334,19242.0,19242.0,3262.0,3207.0,3207.0,1073.0,1171.0,2244.0,612.0,351.0
9,61838,1,2,2549.3333333333335,19290.0,19278.0,3262.0,3215.0,3213.0,1067.0,994.0,2063.0,767.0,385.0
9,61846,1,1,2502.2833333333333,1548.0,1548.0,263.0,258.0,258.0,35.0,83.0,118.0,74.0,66.0
9,61846,1,2,2503.366666666667,1536.0,1536.0,263.0,256.0,256.0,37.0,60.0,97.0,91.0,68.0
9,61853,1,1,2644.7,1526.0,1526.0,1612.0,1526.0,1526.0,599.0,554.0,1153.0,238.0,135.0
9,61853,1,2,2628.4,1517.0,1517.0,1612.0,1517.0,1517.0,354.0,480.0,834.0,326.0,357.0
9,61879,1,1,2504.5166666666664,1872.0,1872.0,316.0,312.0,312.0,47.0,116.0,163.0,78.0,71.0
9,61879,1,2,2500.75,1878.0,1878.0,316.0,313.0,313.0,40.0,83.0,123.0,112.0,78.0
9,61887,1,2,2500.0500000000006,2748.0,2748.0,474.0,458.0,458.0,77.0,120.0,197.0,122.0,139.0
9,61887,1,1,2502.616666666667,2754.0,2754.0,473.0,459.0,459.0,98.0,125.0,223.0,114.0,122.0
9,61903,1,1,2510.714285714286,14056.0,14049.0,2077.0,2008.0,2007.0,349.0,601.0,950.0,512.0,545.0
9,61903,1,2,2494.714285714286,14014.0,13979.0,2076.0,2002.0,1997.0,253.0,432.0,687.0,610.0,706.0
9,61911,1,1,2600.14,576.0,576.0,90.0,88.0,88.0,48.0,25.0,73.0,15.0,0.0
9,61911,1,2,2572.52,570.0,570.0,90.0,87.0,87.0,36.0,22.0,58.0,21.0,8.0
9,61929,1,1,2494.25,4200.0,4200.0,711.0,700.0,700.0,97.0,215.0,312.0,209.0,179.0
9,61929,1,2,2497.5833333333335,4206.0,4206.0,711.0,701.0,701.0,99.0,172.0,271.0,241.0,189.0
9,61945,1,1,2501.4500000000003,1254.0,1242.0,214.0,209.0,207.0,36.0,58.0,94.0,61.0,52.0
9,61945,1,2,2493.0333333333333,1242.0,1242.0,213.0,207.0,207.0,24.0,54.0,78.0,65.0,64.0
9,61952,1,2,2508.0499999999997,4908.0,4908.0,834.0,818.0,818.0,145.0,191.0,336.0,282.0,200.0
9,61952,1,1,2518.8500000000004,4914.0,4908.0,833.0,819.0,818.0,172.0,287.0,460.0,203.0,156.0
9,61960,1,2,2485.1166666666663,2700.0,2700.0,463.0,450.0,450.0,58.0,89.0,147.0,165.0,138.0
9,61960,1,1,2490.35,2694.0,2652.0,463.0,449.0,442.0,54.0,141.0,196.0,124.0,128.0
9,61978,1,1,2550.4833333333336,15234.0,15234.0,2586.0,2539.0,2539.0,849.0,963.0,1812.0,460.0,267.0
9,61978,1,2,2548.5333333333333,15216.0,15210.0,2586.0,2536.0,2535.0,858.0,754.0,1613.0,611.0,312.0
10,61994,1,2,2497.5833333333335,648.0,648.0,108.0,108.0,108.0,23.0,24.0,47.0,23.0,38.0
10,61994,1,1,2497.0666666666666,648.0,648.0,108.0,108.0,108.0,22.0,27.0,49.0,23.0,36.0
