,County Code,District Code,Subgroup ID,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
220,4,61507,75,980.0,980.0,208.0,208.0,208.0,45.0,159.0,204.0,267.0,777.0
221,4,61507,76,1778.0,1778.0,512.0,508.0,508.0,408.0,1205.0,1613.0,2104.0,3394.0
222,4,61507,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,4,61507,78,4095.0,4074.0,1188.0,1170.0,1164.0,921.0,3389.0,4309.0,4265.0,7806.0
224,4,61507,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,4,61507,80,10941.0,10920.0,3192.0,3126.0,3120.0,3011.0,8070.0,11082.0,12908.0,19775.0
226,4,61507,144,2506.0,2492.0,732.0,716.0,712.0,576.0,1404.0,1980.0,2740.0,5304.0
227,4,61515,74,64.0,62.0,76.0,64.0,62.0,9.0,51.0,59.0,76.0,121.0
228,4,61515,75,100.0,100.0,104.0,100.0,100.0,48.0,128.0,176.0,112.0,112.0
229,4,61515,76,260.0,260.0,260.0,260.0,260.0,120.0,240.0,360.0,352.0,328.0
230,4,61515,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,4,61515,78,412.0,412.0,448.0,412.0,412.0,111.0,390.0,501.0,455.0,691.0
232,4,61515,80,936.0,934.0,1028.0,936.0,934.0,530.0,971.0,1500.0,898.0,1346.0
233,4,61515,144,132.0,132.0,144.0,132.0,132.0,64.0,136.0,200.0,112.0,216.0
234,4,61523,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,4,61523,75,637.0,637.0,118.0,113.0,113.0,20.0,94.0,114.0,144.0,194.0
236,4,61523,76,406.0,406.0,58.0,58.0,58.0,4.0,30.0,34.0,38.0,44.0
237,4,61523,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,4,61523,78,4088.0,4081.0,1224.0,1168.0,1166.0,597.0,2530.0,3127.0,4713.0,8512.0
239,4,61523,80,4935.0,4935.0,1564.0,1410.0,1410.0,1417.0,3550.0,4967.0,5945.0,8828.0
240,4,61523,144,938.0,938.0,240.0,220.0,220.0,99.0,368.0,466.0,373.0,921.0
241,4,61531,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,4,61531,75,504.0,496.0,66.0,63.0,62.0,8.0,16.0,24.0,30.0,71.0
243,4,61531,76,186.0,186.0,34.0,31.0,31.0,12.0,14.0,26.0,14.0,22.0
244,4,61531,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,4,61531,78,3512.0,3512.0,902.0,878.0,878.0,1127.0,2646.0,3773.0,4123.0,6152.0
246,4,61531,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,4,61531,80,18712.0,18712.0,4860.0,4678.0,4678.0,7537.0,18099.0,25637.0,20943.0,28270.0
248,4,61531,144,2112.0,2112.0,564.0,528.0,528.0,779.0,1408.0,2187.0,2429.0,3832.0
249,4,61549,74,364.0,364.0,56.0,52.0,52.0,0.0,6.0,6.0,34.0,64.0
250,4,61549,75,476.0,476.0,68.0,68.0,68.0,6.0,12.0,18.0,56.0,62.0
251,4,61549,76,3717.0,3717.0,1068.0,1062.0,1062.0,863.0,3008.0,3870.0,5364.0,5633.0
