School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2016-17,Agency ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Hispanic Students [Public School] 2016-17,Black Students [Public School] 2016-17,White Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Two or More Races Students [Public School] 2016-17,Total Race/Ethnicity [Public School] 2016-17
ALBERT EINSTEIN ACAD FOR LTRS ARTS & SCIS - ODYSSEY,CALIFORNIA,Acton-Agua Dulce Unified,600001,0,16,26,23,129,1,26,†
ALBERT EINSTEIN ACAD LTRS ARTS SCIS - AQUA DULCE PART. ACAD,CALIFORNIA,Acton-Agua Dulce Unified,600001,–,–,60,4,68,–,11,†
ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,California,San Diego Unified,634320,1,15,311,32,304,–,134,†
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,California,San Diego Unified,634320,3,7,369,37,158,1,37,†
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES,California,William S. Hart Union High,642510,3,90,67,26,260,1,16,†
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES-STEAM,CALIFORNIA,Acton-Agua Dulce Unified,600001,3,133,92,39,177,–,32,†
ALBERT EINSTEIN CONTINUATION,California,Los Angeles Unified,622710,–,1,69,1,4,–,1,†
ALBERT EINSTEIN MIDDLE,California,Sacramento City Unified,633840,7,79,230,129,216,10,47,†
ALBERT F. BIELLA ELEMENTARY,California,Santa Rosa Elementary,635810,3,13,282,9,50,–,12,†
ALBERT POWELL CONTINUATION,California,Yuba City Unified,643470,2,4,66,7,56,–,14,†
ALBERT SCHWEITZER ELEMENTARY,California,San Juan Unified,634620,4,14,76,13,244,1,23,†
ALBERTA MARTONE ELEMENTARY,California,Modesto City Elementary,625130,4,50,461,6,81,11,34,†
ALBION ELEMENTARY,California,Mendocino Unified,624480,0,0,1,0,7,0,1,†
ALBION STREET ELEMENTARY,California,Los Angeles Unified,622710,–,28,217,4,5,–,–,†
ALCOTT ELEMENTARY,California,Riverside Unified,633150,4,7,455,74,242,1,26,†
ALCOTT ELEMENTARY,California,Pomona Unified,631320,6,22,808,34,16,–,3,†
ALCOTT ELEMENTARY,California,San Diego Unified,634320,–,6,87,2,82,–,22,†
ALDAMA ELEMENTARY,California,Los Angeles Unified,622710,0,7,451,3,61,0,4,†
ALDER CREEK MIDDLE,California,Tahoe-Truckee Unified,638770,–,7,177,2,344,–,16,†
ALDER GROVE CHARTER,California,South Bay Union Elementary,637350,12,1,51,2,308,–,58,†
ALDER MIDDLE,California,Fontana Unified,613920,–,14,1032,71,47,8,8,†
ALDERWOOD ELEMENTARY,California,Irvine Unified,684500,1,382,102,13,237,1,101,†
ALESSANDRO,California,Moreno Valley Unified,625800,–,–,17,21,7,1,2,†
ALESSANDRO HIGH,California,Hemet Unified,616920,4,0,228,66,73,2,16,†
ALEXANDER FLEMING MIDDLE,California,Los Angeles Unified,622710,5,105,983,213,73,21,14,†
ALEXANDER HAMILTON ELEMENTARY,California,Stockton Unified,638010,16,72,640,74,12,1,19,†
ALEXANDER HAMILTON SENIOR HIGH,California,Los Angeles Unified,622710,7,113,1379,722,440,9,49,†
ALEXANDER ROSE ELEMENTARY,California,Milpitas Unified,624500,6,226,178,6,33,6,29,†
ALEXANDER VALLEY ELEMENTARY,California,Alexander Valley Union Elementary,601890,–,–,48,1,80,–,1,†
ALEXANDRIA AVENUE ELEMENTARY,California,Los Angeles Unified,622710,1,43,713,7,19,6,6,†
ALFONSO B. PEREZ SPECIAL EDUCATION CENTER,California,Los Angeles Unified,622710,1,22,271,3,4,0,2,†
ALFRED B. NOBEL CHARTER MIDDLE,California,Los Angeles Unified,622710,8,552,1036,108,649,7,82,†
ALFRED S. MADRID MIDDLE,California,Mountain View Elementary,626190,–,76,773,1,–,–,3,†
ALHAMBRA HIGH,California,Alhambra Unified,600153,6,1101,1274,29,57,2,43,†
ALHAMBRA SENIOR HIGH,California,Martinez Unified,624030,4,96,327,33,606,3,110,†
ALIANZA CHARTER,California,Pajaro Valley Unified,629490,–,6,635,5,30,–,–,†
ALICANTE AVENUE ELEMENTARY,California,Lamont Elementary,620850,–,6,1190,2,14,–,1,†
ALICE BIRNEY ELEMENTARY,California,Eureka City Schools,600052,22,67,154,13,108,14,37,†
ALICE BIRNEY ELEMENTARY,California,Colton Joint Unified,609390,–,5,716,20,13,–,1,†
ALICE BIRNEY WALDORF-INSPIRED,California,Sacramento City Unified,633840,3,15,129,34,324,1,48,†
ALICE C. STELLE MIDDLE,California,Las Virgenes Unified,621000,5,64,47,19,657,1,14,†
ALICE M. ELLINGTON ELEMENTARY,California,Azusa Unified,603600,1,19,477,4,31,–,1,†
ALICE M. WORSLEY,California,Fresno County Office of Education,691007,1,7,123,58,27,1,2,†
ALICE N. STROUD ELEMENTARY,California,Empire Union Elementary,612690,1,23,312,15,129,2,21,†
ALICE SHAW ELEMENTARY,California,Orcutt Union Elementary,628710,–,14,351,5,215,2,50,†
ALICIA CORTEZ ELEMENTARY,California,Chino Valley Unified,608460,–,17,538,9,77,1,13,†
ALICIA REYES ELEMENTARY,California,Merced City Elementary,624600,1,45,588,30,18,–,3,†
ALILA,California,Earlimart Elementary,611760,–,4,573,3,5,–,10,†
ALISAL COMMUNITY,California,Alisal Union,601950,–,2,752,–,–,–,14,†
ALISAL ELEMENTARY,California,Pleasanton Unified,600020,–,187,64,7,275,–,41,†
ALISAL HIGH,California,Salinas Union High,633980,2,18,2690,4,35,–,–,†
ALISO ELEMENTARY,California,Carpinteria Unified,607560,1,2,355,2,60,–,4,†
ALISO NIGUEL HIGH,California,Capistrano Unified,607440,5,444,554,49,1735,8,265,†
ALISO VIEJO MIDDLE,California,Capistrano Unified,607440,2,141,213,23,634,2,81,†
ALL TRIBES CHARTER,California,Warner Unified,600042,45,–,5,–,1,–,–,†
ALL TRIBES ELEMENTARY CHARTER,California,Warner Unified,600042,37,–,9,–,2,–,1,†
ALLAN ORRENMAA ELEMENTARY,California,Alvord Unified,602430,2,26,450,13,83,1,10,†
ALLAN PETERSON ELEMENTARY,California,Merced City Elementary,624600,3,68,319,12,199,1,37,†
ALLEN (DECIMA M.) ELEMENTARY,California,San Bruno Park Elementary,634230,–,53,190,2,55,24,22,†
ALLEN (ELLA B.) ELEMENTARY,California,Chula Vista Elementary,608610,–,34,241,9,98,–,11,†
ALLEN AT STEINBECK,California,San Jose Unified,634590,–,51,422,20,119,1,40,†
ALLEN AVENUE ELEMENTARY,California,Bonita Unified,605610,–,35,273,12,128,–,36,†
ALLENDALE ELEMENTARY,California,Oakland Unified,628050,3,69,167,101,16,3,12,†
ALLENSWORTH ELEMENTARY,California,Allensworth Elementary,601980,–,–,77,1,–,–,–,†
ALLESANDRO ELEMENTARY,California,Los Angeles Unified,622710,–,31,361,9,20,–,2,†
ALLIANCE ACADEMY,California,Oakland Unified,628050,3,9,223,74,1,10,8,†
